[2026-01-14 19:17:49,231] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 8514
[2026-01-14 19:18:22,226] INFO django.server: "POST /accounts/logout/ HTTP/1.1" 302 0
[2026-01-14 19:18:22,236] INFO django.server: "GET /accounts/login/ HTTP/1.1" 200 10819
[2026-01-14 19:18:33,901] INFO django.server: "POST /accounts/login/ HTTP/1.1" 302 0
[2026-01-14 19:18:33,918] INFO django.server: "GET / HTTP/1.1" 200 16215
[2026-01-14 19:18:38,431] INFO django.server: "GET /upload/ HTTP/1.1" 200 5998
[2026-01-14 19:19:06,680] INFO django.server: "POST /upload/ HTTP/1.1" 302 0
[2026-01-14 19:19:06,710] INFO django.server: "GET /analysis/request/ HTTP/1.1" 200 6406
[2026-01-14 19:19:16,162] INFO django.server: "GET /analysis/run/1/ HTTP/1.1" 302 0
[2026-01-14 19:19:16,180] INFO django.server: "GET / HTTP/1.1" 200 16779
[2026-01-14 19:19:34,290] INFO django.server: "GET /reports/history/ HTTP/1.1" 200 12112
[2026-01-14 19:19:45,417] INFO django.server: "GET / HTTP/1.1" 200 16215
[2026-01-14 19:19:49,119] INFO django.server: "GET /upload/ HTTP/1.1" 200 5998
[2026-01-14 19:19:56,506] INFO django.server: "POST /upload/ HTTP/1.1" 302 0
[2026-01-14 19:19:56,526] INFO django.server: "GET /analysis/request/ HTTP/1.1" 200 6748
[2026-01-14 19:20:10,829] INFO django.server: "GET /analysis/run/2/ HTTP/1.1" 302 0
[2026-01-14 19:20:10,848] INFO django.server: "GET / HTTP/1.1" 200 16779
[2026-01-14 19:20:37,027] INFO django.server: "GET /upload/ HTTP/1.1" 200 5998
[2026-01-14 19:20:54,906] INFO django.server: "POST /upload/ HTTP/1.1" 302 0
[2026-01-14 19:20:54,930] INFO django.server: "GET /analysis/request/ HTTP/1.1" 200 7092
[2026-01-14 19:21:02,883] INFO django.server: "GET /analysis/run/3/ HTTP/1.1" 302 0
[2026-01-14 19:21:02,902] INFO django.server: "GET / HTTP/1.1" 200 16779
